iter	RMSE
0	30.72262242
1	30.465721
2	30.21405201
3	29.97400888
4	29.73499206
5	29.49203709
6	29.25532968
7	29.01443269
8	28.78636842
9	28.55210396
10	28.32791691
11	28.10550843
12	27.88011339
13	27.65031292
14	27.42812167
15	27.20782598
16	27.00235564
17	26.79979379
18	26.57830872
19	26.36907252
20	26.1565298
21	25.94201797
22	25.73680601
23	25.53876157
24	25.33890062
25	25.14622218
26	24.95388186
27	24.76195926
28	24.57059892
29	24.39273758
30	24.21019457
31	24.0266721
32	23.84341459
33	23.66254587
34	23.48797388
35	23.30865463
36	23.13901257
37	22.96386753
38	22.8036402
39	22.63347495
40	22.46045969
41	22.30259246
42	22.14337449
43	21.98133135
44	21.82240678
45	21.6682535
46	21.51909916
47	21.3665882
48	21.21674153
49	21.07478224
50	20.92428193
51	20.77950666
52	20.63080737
53	20.48773238
54	20.33917029
55	20.1938777
56	20.05136939
57	19.91454016
58	19.77753855
59	19.63931438
60	19.50457952
61	19.37606741
62	19.23774651
63	19.10877635
64	18.97869555
65	18.85604976
66	18.73997336
67	18.61136537
68	18.48822679
69	18.36796981
70	18.245665
71	18.12454007
72	18.00540259
73	17.8906044
74	17.78780121
75	17.67497752
76	17.56260466
77	17.44928757
78	17.33844899
79	17.23370044
80	17.13387286
81	17.0322461
82	16.92451507
83	16.81752033
84	16.7122462
85	16.60369755
86	16.49959209
87	16.39338309
88	16.30279591
89	16.21212767
90	16.11574647
91	16.01958359
92	15.92437571
93	15.82945571
94	15.74373159
95	15.64325322
96	15.54882216
97	15.4611311
98	15.37998772
99	15.29425924
100	15.2164209
101	15.13572944
102	15.05371322
103	14.97018581
104	14.88750671
105	14.80229978
106	14.72370132
107	14.63834981
108	14.56169917
109	14.48114906
110	14.40301221
111	14.33280248
112	14.26015791
113	14.18728498
114	14.11349963
115	14.04066978
116	13.96706278
117	13.89545358
118	13.82549556
119	13.74949341
120	13.68419166
121	13.61751866
122	13.5494013
123	13.48554819
124	13.4233178
125	13.36241802
126	13.30603159
127	13.24226627
128	13.17903216
129	13.11438055
130	13.05346444
131	12.99227214
132	12.93256796
133	12.87209817
134	12.81065281
135	12.75202975
136	12.69310083
137	12.63984831
138	12.57564985
139	12.5177356
140	12.4657877
141	12.41250109
142	12.35881136
143	12.30458991
144	12.25427964
145	12.20516952
146	12.15372586
147	12.09988244
148	12.04839076
149	11.99486073
150	11.94730382
151	11.90260229
152	11.85112602
153	11.8032032
154	11.7616779
155	11.71614161
156	11.66289359
157	11.61225901
158	11.56547838
159	11.51773747
160	11.4811607
161	11.43494394
162	11.3911315
163	11.34796881
164	11.30425348
165	11.25948049
166	11.21802372
167	11.17695028
168	11.13553655
169	11.0937466
170	11.05202844
171	11.01456497
172	10.97607649
173	10.94182818
174	10.90274894
175	10.86709005
176	10.83513667
177	10.80023721
178	10.76252172
179	10.72705422
180	10.69263362
181	10.65866778
182	10.62906347
183	10.59620783
184	10.5614386
185	10.52288466
186	10.48701009
187	10.45550864
188	10.41712512
189	10.38185637
190	10.34459618
191	10.31665764
192	10.28664603
193	10.25777009
194	10.22647529
195	10.19750077
196	10.16975034
197	10.13697655
198	10.10459489
199	10.08018671
200	10.04889801
201	10.01931263
202	9.990291807
203	9.963171059
204	9.934495242
205	9.906105625
206	9.873705846
207	9.847345425
208	9.817669826
209	9.797733102
210	9.772343091
211	9.742540144
212	9.7130721
213	9.682906341
214	9.658349811
215	9.635813862
216	9.609831061
217	9.582127834
218	9.561946344
219	9.535494477
220	9.510233064
221	9.482777679
222	9.466050442
223	9.443816515
224	9.420633885
225	9.392958511
226	9.366605492
227	9.342320378
228	9.320277296
229	9.298545925
230	9.273552678
231	9.244540398
232	9.225608835
233	9.202111146
234	9.182417539
235	9.158802115
236	9.138557933
237	9.117083872
238	9.092321139
239	9.069735237
240	9.050315721
241	9.034528232
242	9.018000273
243	8.996132408
244	8.976043459
245	8.956638849
246	8.941081758
247	8.915765059
248	8.898656929
249	8.880021443
250	8.861001858
251	8.843665607
252	8.824348884
253	8.802395231
254	8.789120581
255	8.771354192
256	8.753383189
257	8.732958366
258	8.71777109
259	8.703871259
260	8.686091374
261	8.668070472
262	8.653713396
263	8.639548094
264	8.615980155
265	8.597345432
266	8.579712049
267	8.558217147
268	8.543731751
269	8.529317272
270	8.514693806
271	8.498510418
272	8.485655431
273	8.472479697
274	8.459407446
275	8.443941796
276	8.430208816
277	8.417621953
278	8.405816497
279	8.387692033
280	8.373636748
281	8.356455117
282	8.337563178
283	8.326554335
284	8.30765826
285	8.288199395
286	8.271645153
287	8.254600816
288	8.238545475
289	8.221238218
290	8.204262581
291	8.187915452
292	8.171805178
293	8.158137487
294	8.139974011
295	8.124364755
296	8.113026365
297	8.09807478
298	8.078847342
299	8.064767952
300	8.049944267
301	8.034190582
302	8.021805091
303	8.003433712
304	7.988257773
305	7.977902569
306	7.964734566
307	7.950822164
308	7.939199916
309	7.929210776
310	7.919926389
311	7.908362013
312	7.899370338
313	7.887981538
314	7.878834379
315	7.869722057
316	7.860717368
317	7.85112479
318	7.839765259
319	7.829536979
320	7.81742892
321	7.808331668
322	7.798681383
323	7.784422037
324	7.768037496
325	7.75753963
326	7.7431435
327	7.732170176
328	7.717756686
329	7.708205848
330	7.694565184
331	7.68624713
332	7.672425144
333	7.664576002
334	7.653049771
335	7.642309798
336	7.624017419
337	7.613774779
338	7.601379135
339	7.588439184
340	7.57929324
341	7.564188506
342	7.555733495
343	7.542857809
344	7.529553638
345	7.520606002
346	7.51107824
347	7.500357782
348	7.485647888
349	7.475897682
350	7.464992205
351	7.453976316
352	7.442814518
353	7.434952626
354	7.426493752
355	7.420318938
356	7.411445327
357	7.399513188
358	7.384100765
359	7.376549138
360	7.368645838
361	7.355909326
362	7.342707013
363	7.332237544
364	7.324589108
365	7.319384323
366	7.308789099
367	7.298279355
368	7.286321855
369	7.279800003
370	7.2741101
371	7.266708647
372	7.258562309
373	7.247404975
374	7.238938136
375	7.228969778
376	7.219599659
377	7.211265588
378	7.201893085
379	7.194707195
380	7.187379768
381	7.174822432
382	7.160043193
383	7.152744132
384	7.148009684
385	7.136589873
386	7.127968292
387	7.12087293
388	7.113487253
389	7.105381058
390	7.099349729
391	7.088377379
392	7.082851621
393	7.073862554
394	7.06761195
395	7.052680007
396	7.045373345
397	7.034350266
398	7.026217823
399	7.019832634
400	7.010413628
401	7.004711386
402	6.989905845
403	6.986116493
404	6.980117313
405	6.975066189
406	6.967387981
407	6.9616696
408	6.955827305
409	6.948642036
410	6.942433425
411	6.933447445
412	6.926174379
413	6.918577869
414	6.911735268
415	6.903896368
416	6.894491166
417	6.882732157
418	6.873847055
419	6.862429049
420	6.854507278
421	6.847105672
422	6.84266233
423	6.835503888
424	6.8287492
425	6.823568279
426	6.813464964
427	6.802593529
428	6.796989718
429	6.788605098
430	6.781941231
431	6.771487192
432	6.759077928
433	6.75242716
434	6.747489872
435	6.741584443
436	6.734737606
437	6.722972902
438	6.717462099
439	6.707775828
440	6.698374102
441	6.693151738
442	6.68802667
443	6.683934341
444	6.677039935
445	6.670377241
446	6.660631584
447	6.653678216
448	6.644895576
449	6.63821699
450	6.63120388
451	6.625015382
452	6.616723978
453	6.611037709
454	6.60515068
455	6.596484574
456	6.588906932
457	6.578943246
458	6.5708569
459	6.562149488
460	6.554367659
461	6.547693671
462	6.539355572
463	6.532244745
464	6.525088935
465	6.519367067
466	6.512526747
467	6.50802493
468	6.501694576
469	6.496883229
470	6.490037945
471	6.485808663
472	6.480025752
473	6.475082394
474	6.464912158
475	6.459450148
476	6.45083566
477	6.445769412
478	6.439794593
479	6.435246225
480	6.428391418
481	6.41671416
482	6.409000521
483	6.403888406
484	6.398071949
485	6.392289994
486	6.386420027
487	6.379826468
488	6.374325942
489	6.364005367
490	6.357609795
491	6.348980728
492	6.343467014
493	6.337241176
494	6.33276227
495	6.327560904
496	6.321124638
497	6.317066373
498	6.3139777
499	6.307701799
500	6.30368031
501	6.297477992
502	6.28798482
503	6.282588019
504	6.276930371
505	6.268838533
506	6.263160052
507	6.256973599
508	6.251539209
509	6.246447618
510	6.240527522
511	6.233941489
512	6.22649605
513	6.222275129
514	6.21242706
515	6.206278068
516	6.201921728
517	6.198065645
518	6.19437007
519	6.189643848
520	6.181300758
521	6.175876709
522	6.170146157
523	6.162784274
524	6.157716798
525	6.151471482
526	6.147861367
527	6.142941766
528	6.137351745
529	6.134045631
530	6.128204516
531	6.121876094
532	6.117893327
533	6.115175917
534	6.111844261
535	6.107617798
536	6.099910686
537	6.096239413
538	6.091298502
539	6.085022379
540	6.077249195
541	6.07234892
542	6.067548328
543	6.063462933
544	6.060831223
545	6.053251633
546	6.047657655
547	6.042205334
548	6.035765869
549	6.031356906
550	6.027916371
551	6.022641041
552	6.015315249
553	6.007481448
554	6.004542238
555	5.99917132
556	5.993485461
557	5.988067324
558	5.98319911
