iter	Passed	Remaining
0	31	31097
1	59	29605
2	81	27177
3	105	26222
4	128	25548
5	149	24834
6	173	24600
7	195	24282
8	217	23925
9	239	23690
10	259	23317
11	278	22938
12	298	22662
13	318	22407
14	337	22182
15	357	21955
16	376	21752
17	379	20687
18	398	20575
19	418	20505
20	443	20683
21	465	20683
22	485	20603
23	512	20826
24	533	20801
25	596	22357
26	627	22618
27	652	22634
28	672	22502
29	700	22641
30	726	22705
31	753	22805
32	779	22838
33	810	23015
34	835	23028
35	860	23047
36	882	22969
37	909	23015
38	912	22489
39	941	22594
40	966	22608
41	990	22602
42	1020	22711
43	1046	22742
44	1074	22808
45	1099	22810
46	1123	22785
47	1152	22853
48	1176	22830
49	1204	22889
50	1228	22868
51	1255	22886
52	1284	22957
53	1308	22923
54	1331	22881
55	1354	22837
56	1377	22793
57	1406	22843
58	1430	22821
59	1451	22742
60	1471	22658
61	1494	22605
62	1528	22726
63	1577	23074
64	1602	23054
65	1624	22992
66	1631	22724
67	1653	22657
68	1674	22596
69	1699	22576
70	1721	22525
71	1748	22536
72	1773	22523
73	1799	22517
74	1824	22498
75	1849	22489
76	1876	22493
77	1900	22462
78	1928	22480
79	1953	22460
80	1980	22465
81	2007	22477
82	2051	22662
83	2083	22718
84	2176	23425
85	2226	23659
86	2251	23625
87	2274	23573
88	2299	23539
89	2322	23481
90	2344	23421
91	2365	23346
92	2387	23288
93	2407	23205
94	2426	23116
95	2446	23037
96	2467	22968
97	2487	22897
98	2507	22823
99	2527	22743
100	2546	22663
101	2564	22579
102	2583	22496
103	2603	22426
104	2621	22345
105	2640	22272
106	2660	22202
107	2681	22146
108	2702	22094
109	2722	22030
110	2742	21965
111	2761	21897
112	2781	21832
113	2801	21770
114	2820	21708
115	2839	21640
116	2860	21589
117	2881	21539
118	2901	21481
119	2920	21418
120	2939	21356
121	2962	21316
122	2991	21327
123	3017	21315
124	3044	21308
125	3069	21289
126	3089	21234
127	3109	21183
128	3131	21144
129	3151	21088
130	3170	21033
131	3191	20983
132	3212	20941
133	3232	20889
134	3252	20840
135	3274	20802
136	3296	20766
137	3315	20709
138	3335	20661
139	3356	20618
140	3377	20578
141	3397	20529
142	3418	20488
143	3438	20442
144	3460	20402
145	3482	20370
146	3504	20334
147	3527	20307
148	3552	20290
149	3578	20275
150	3599	20239
151	3620	20200
152	3643	20168
153	3664	20133
154	3687	20100
155	3710	20077
