,MARKET_TYPE,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,WINDOWS_TYPE,HEATING,SECURITY_TYPES,PRICE_PER_M2,DISTANCE_FROM_CITY_CENTER_KM,RESIDENTIAL_AREA,DISTRICT
0,secondary,private,800000.0,69.0,3,1930.0,floor_1,2.0,brick,full_ownership,tenement,ready_to_use,"basement, garden, usable_room",wooden,gas,"anti_burglary_door, entryphone",11594.2,4.25,Grabiszyn-Grabiszynek,Fabryczna
1,primary,agency,427699.0,39.12,1,2023.0,floor_2,2.0,unknown,unknown,apartment,to_completion,"garage, lift",unknown,urban,"monitoring, entryphone",10933.0,4.46,Gaj,Krzyki
2,primary,agency,494494.0,47.32,3,2023.0,floor_4,4.0,unknown,unknown,apartment,to_completion,"garage, lift",unknown,urban,entryphone,10450.0,4.46,Gaj,Krzyki
3,secondary,private,884400.0,66.0,3,2013.0,floor_2,3.0,breezeblock,full_ownership,block,ready_to_use,"balcony, basement, garage, lift, separate_kitchen",plastic,boiler_room,"anti_burglary_door, entryphone",13400.0,3.97,Gaj,Krzyki
4,primary,agency,379464.0,56.54,3,2023.0,floor_3,4.0,unknown,unknown,block,to_completion,garage,unknown,unknown,entryphone,6711.43,5.3,Gądów-Popowice Południowe,Fabryczna
5,primary,developer,1345877.0,103.42,5,2022.0,floor_7,9.0,unknown,full_ownership,unknown,to_completion,"garage, terrace, balcony, lift",unknown,unknown,closed_area,13013.7,2.01,Szczepin,Stare Miasto
6,primary,developer,870351.0,77.3,4,2022.0,ground_floor,9.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,closed_area,11259.39,2.01,Szczepin,Stare Miasto
7,primary,developer,798365.0,62.88,3,2022.0,floor_3,9.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,closed_area,12696.64,2.01,Szczepin,Stare Miasto
8,primary,developer,1206168.0,103.98,4,2024.0,floor_2,2.0,unknown,full_ownership,unknown,to_completion,"garage, two_storey, terrace, lift",unknown,unknown,closed_area,11600.0,6.1,Biskupin-Sępolno-Dąbie-Bartoszowice,Śródmieście
9,primary,developer,932484.0,52.86,3,2024.0,floor_1,6.0,unknown,full_ownership,unknown,to_completion,"garage, balcony, lift",unknown,unknown,0,17640.64,0.74,Stare Miasto,Stare Miasto
