ID,SLUG,MARKET_TYPE,TRANSACTION_TYPE,ESTATE_CATEGORY,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,EQUIPMENT_TYPES,WINDOWS_TYPE,RENT,HEATING,SECURITY_TYPES,COUNTRY,PROVINCE,SUBREGION,CITY,DISTRICT,SUBDISTRICT,STREET,LATITUDE,LONGITUDE
63978544,ok-ul-teczowej-3-pok-rozklad-rynek-10-min-ID4krK0,secondary,SELL,FLAT,agency,637000.0,63.0,3,1960.0,,4.0,brick,full_ownership,block,ready_to_use,"basement, separate_kitchen",,plastic,550.0,,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Stare Miasto,,Ok. UL.TĘCZOWEJ/STARE MIASTO/3 POK/ ROZKŁAD,51.105317,17.0213
63538066,sprzedam-mieszkanie-3-pokoje-grabiszynek-ID4iB9v,secondary,SELL,FLAT,private,800000.0,69.0,3,1930.0,floor_1,2.0,brick,full_ownership,tenement,ready_to_use,"basement, garden, usable_room","dishwasher, fridge, oven, stove, washing_machine",wooden,100.0,gas,"anti_burglary_door, entryphone",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Grabiszynek,,,51.09141,16.97927
64041121,duza-kawalerka-dobra-na-inwestycje-ID4kI1j,primary,SELL,FLAT,agency,427699.0,39.12,1,2023.0,floor_2,2.0,,,apartment,to_completion,"garage, lift",,,9.0,urban,"monitoring, entryphone",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,,,,51.06985,17.03976
64041126,ta-okazja-moze-byc-twoja-3-pokoje-bez-pcc-ID4kI1o,primary,SELL,FLAT,agency,494494.0,47.32,3,2023.0,floor_4,4.0,,,apartment,to_completion,"garage, lift",,,9.0,urban,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,,,,51.06985,17.03976
63993126,66m2-gaj-wambierzycka-2xgar-2xkom-bez-posr-ID4kwxc,secondary,SELL,FLAT,private,884400.0,66.0,3,2013.0,floor_2,3.0,breezeblock,full_ownership,block,ready_to_use,"balcony, basement, garage, lift, separate_kitchen","dishwasher, fridge, furniture, oven, stove, tv, washing_machine",plastic,1200.0,boiler_room,"anti_burglary_door, entryphone",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Gaj,,ul. Wambierzycka,51.0753531,17.0480425
64041131,blisko-wroclawia-tanio-bez-prowizji-3-pokoje-ID4kI1t,primary,SELL,FLAT,agency,379464.0,56.54,3,2023.0,floor_3,4.0,,,block,to_completion,garage,,,,,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Fabryczna,,ul. Latawcowa,51.12893479176,16.963233947754
63407965,5-pokojowe-mieszkanie-103m2-2-tarasy-ID4i3j7,primary,SELL,FLAT,developer,1345877.0,103.42,5,2022.0,floor_7,9.0,,full_ownership,,to_completion,"garage, terrace, balcony, lift",,,,,closed_area,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Szczepin,,ul. Portowa,51.12395559432,17.014851802218
62176824,4-pokojowe-mieszkanie-77m2-balkon-bezposrednio-ID4cT20,primary,SELL,FLAT,developer,870351.0,77.3,4,2022.0,ground_floor,9.0,,full_ownership,,to_completion,"garage, balcony, lift",,,,,closed_area,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Szczepin,,ul. Portowa,51.12395559432,17.014851802218
62176823,3-pokojowe-mieszkanie-62m2-2-balkony-ID4cT1Z,primary,SELL,FLAT,developer,798365.0,62.88,3,2022.0,floor_3,9.0,,full_ownership,,to_completion,"garage, balcony, lift",,,,,closed_area,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Szczepin,,ul. Portowa,51.12395559432,17.014851802218
63751035,4-pokojowy-apartament-103m2-2-tarasy-ID4juyw,primary,SELL,FLAT,developer,1206168.0,103.98,4,2024.0,floor_2,2.0,,full_ownership,,to_completion,"garage, two_storey, terrace, lift",,,,,closed_area,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,,,ul. Bernarda Belotta Canaletta,51.102293079081,17.118756250393
