,ID,SLUG,MARKET_TYPE,TRANSACTION_TYPE,ESTATE_CATEGORY,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NO,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,EQUIPMENT_TYPES,WINDOWS_TYPE,RENT,HEATING,SECURITY_TYPES,COUNTRY,PROVINCE,SUBREGION,CITY,DISTRICT,SUBDISTRICT,STREET,LATITUDE,LONGITUDE
0,64090398,4-pok-aneks-krzyki-komunikacja-mpk-iiiq-2023-ID4kUQ6,primary,SELL,FLAT,agency,579250,73.79,4,2023,floor_1,3,,full_ownership,block,to_completion,"balcony, basement, garage, lift, usable_room",,plastic,,urban,"anti_burglary_door, entryphone, monitoring",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Krzyki,,,51.07855,17.05319
1,64084835,2-pokoje-z-balkonem-2006r-gaj-inwestycja-ID4kTon,secondary,SELL,FLAT,agency,530000,48,2,2006,ground_floor,3,,co_operative_ownership_with_a_land_and_mortgage_registe,apartment,ready_to_use,"balcony, usable_room",,,580,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Gaj,,ul. Adama Uznańskiego,51.07236,17.03885
2,63915639,gora-domu-z-ogrodem-w-lesnicy-ID4kbnp,secondary,SELL,FLAT,agency,685000,104.3,4,1930,floor_1,2,brick,full_ownership,house,ready_to_use,"garage, garden",,plastic,,gas,anti_burglary_door,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Leśnica,,ul. Trzmielowicka,51.1395499,16.8373668
3,64049029,gotowe-4-pokoje-na-starym-miescie-ID4kK4R,primary,SELL,FLAT,agency,821462,73.48,4,2022,ground_floor,7,other,full_ownership,apartment,to_completion,"balcony, garage, lift",,plastic,590,urban,"anti_burglary_door, entryphone, monitoring, roller_shutters",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Szczepin,,ul. Gnieźnieńska,51.1224314,17.0119577
4,64049056,inwestycyjne-3-pokoje-centrum-miasta-blisko-ue-ID4kK5i,secondary,SELL,FLAT,agency,439000,48.1,3,1970,floor_7,10,,full_ownership,block,,"basement, lift",,plastic,500,urban,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Krzyki,,ul. Drukarska,51.0899916,17.0208572
5,64049645,kawalerka-z-antresola-cicha-okolica-ladny-widok-ID4kKeN,secondary,SELL,FLAT,agency,430000,32.8,1,2001,floor_4,4,silikat,full_ownership,block,,"lift, two_storey",,wooden,580,boiler_room,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Muchobór Wielki,,ul. Trawowa,51.1000953,16.9517193
6,64090332,sloneczne-m-najwyzsze-pietro-wielki-balkon-ID4kUP2,primary,SELL,FLAT,agency,589000,58.18,3,2023,floor_4,4,other,full_ownership,block,,"balcony, garage, lift, usable_room",,,,urban,"anti_burglary_door, entryphone, monitoring",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Zakrzów,,ul. Odolanowska,51.16249,17.14127
7,64090329,funkcjonalne-mieszkanie-z-duzym-balkonem-ID4kUOZ,primary,SELL,FLAT,agency,628907,48.1,3,2023,ground_floor,4,other,full_ownership,block,,"balcony, garage, lift",,,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Krzyki,,ul. Racławicka,51.07958,16.99305
8,64090330,dwustronne-dwa-balkony-wysokie-gotowe-juz-latem-ID4kUP0,primary,SELL,FLAT,agency,522795,38.3,2,2023,floor_4,4,other,full_ownership,block,,"balcony, lift",,,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Krzyki,,ul. Racławicka,51.07958,16.99305
9,64090326,idealna-opcja-dla-rodziny-ogrodek-kwiecien-2024-ID4kUOV,primary,SELL,FLAT,agency,832878,63.7,4,2024,ground_floor,4,other,full_ownership,block,,"balcony, garage, lift, usable_room",,,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Krzyki,,ul. Racławicka,51.07958,16.99305
